,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
306,Jul,2012,2012-07-01,13195.72055,4130.0,3269.675281,230.0073369,6026.0526059,67920.0,595.1608126,664.0584563,71.875,65.875,72.125,72.125
307,Ago,2012,2012-08-01,10418.21728,2431.0,3285.275984,507.7727126,5209.7140086,67920.0,610.5709189,705.3740767,77.6,74.6,75.7,75.88
308,Set,2012,2012-09-01,7694.290123,1681.0,3056.615044,332.6878841,3289.3629630999994,67920.0,618.7697385,731.3944202,82.75,78.925,80.775,77.125
309,Out,2012,2012-10-01,5570.731151,907.0,2677.763543,554.2045707,2540.1721786999997,67920.0,563.7205212,677.4475651,75.4,73.05,74.675,70.575
310,Nov,2012,2012-11-01,3451.565547,259.0,2461.933821,342.7682173,1073.3999433,67920.0,537.5118575,651.1470379,70.62,71.76,71.7,68.34
311,Dez,2012,2012-12-01,1586.232137,135.0,2181.576971,316.7363366,-413.60849740000003,67920.0,532.234298,543.1660574,70.27,69.33,72.17,67.33
312,Jan,2013,2013-01-01,1893.0,0.0,1751.0,2058.0,2200.0,81593.0,523.95,537.4,64.38,65.3,67.28,61.18
313,Fev,2013,2013-02-01,8049.86167,960.0,2386.507728,8543.369398,13246.72334,81593.0,537.58,546.83,58.0,60.63,60.9,50.65
314,Mar,2013,2013-03-01,14409.32205,3536.0,3260.785554,9620.245934,17232.78243,81593.0,531.5624,528.1635,56.51,54.125,48.685,59.2
315,Abr,2013,2013-04-01,16216.92296,7155.0,3603.967433,5411.568338,10869.523865000001,81593.0,514.3611,502.6011,54.71818182,51.22727273,47.70454545,56.59090909
316,Mai,2013,2013-05-01,14808.51934,7952.0,3795.871577,2387.467958,5448.115721,81593.0,527.0813035,517.6745835,64.25,56.0,67.75,60.25
317,Jun,2013,2013-06-01,12381.95193,6498.0,3463.789598,1037.222189,3457.3845209999995,81593.0,563.0987525,546.3797775,64.88,62.13,69.88,60.38
318,Jul,2013,2013-07-01,9519.518761,5658.0,3356.129584,493.6964168,999.0855937999991,81593.0,525.424104,523.8991865,64.69,63.38,69.25,60.13
319,Ago,2013,2013-08-01,7401.999957,5376.0,3306.570589,1189.051786,-91.51884599999994,81593.0,468.866,512.244,66.35,63.9,71.36,61.56
320,Set,2013,2013-09-01,6121.457473,3469.0,2987.276889,1706.734405,1371.9149890000003,81593.0,494.2156569,552.5483444,71.8,69.8,74.0,66.5
321,Out,2013,2013-10-01,4631.109541,1504.0,3033.12231,1542.774377,1636.7616079999993,81593.0,472.90815,587.55255,72.83,70.5,74.65,66.73
322,Nov,2013,2013-11-01,3074.24701,648.0,2847.646784,1290.784253,869.3844789999998,81593.0,475.4114031,590.2395281,73.4,70.8,74.7,67.4
323,Dez,2013,2013-12-01,1478.10133,41.0,2444.770868,1542.774377,535.1048390000001,81593.0,483.1737844,487.3075969,71.215,70.9725,70.7775,65.0625
324,Jan,2014,2014-01-01,2208.073916,31.0,1943.895451,2469.914281,2703.0927459999994,86397.0,470.7659165,472.3826965,66.05,66.6,67.8,59.2
325,Fev,2014,2014-02-01,8668.089724,2790.0,2437.265526,8897.281334,12338.105531999998,86397.0,496.1126175,498.960355,67.625,65.0,70.875,60.225
326,Mar,2014,2014-03-01,13424.95797,6229.0,3353.360185,8110.228436,11952.826221000001,86397.0,521.6641719,511.6511594,67.9375,66.625,70.0,60.4875
327,Abr,2014,2014-04-01,15101.42765,8251.0,3531.885763,5208.35544,8526.897327,86397.0,550.21963,530.52431,66.75,65.33333333,68.58333333,60.25
328,Mai,2014,2014-05-01,14215.93583,7610.0,3774.634289,2889.142468,5720.444009000001,86397.0,545.2958,535.7421,67.9,64.7,69.06,62.65
329,Jun,2014,2014-06-01,11648.69806,6893.0,3578.313596,1011.075828,2188.4602919999998,86397.0,528.4619969,529.0131719,67.25,65.5,67.625,61.875
330,Jul,2014,2014-07-01,8819.584735,6044.0,3432.91457,603.801242,-53.528593,86397.0,453.28632,511.26993,62.25,61.83333333,62.91666667,59.5
331,Ago,2014,2014-08-01,7041.729944,4119.0,3402.430209,1624.575419,1144.8751539999994,86397.0,402.4955438,505.1978188,63.5,63.4,64.25,61.0
332,Set,2014,2014-09-01,5625.42661,2670.0,3081.219455,1664.91612,1539.1232750000004,86397.0,361.1114875,467.212675,59.0625,59.5,58.75,57.75
333,Out,2014,2014-10-01,4794.72469,741.0,2958.515238,2127.813318,3223.0227699999996,86397.0,353.4317825,440.1499825,60.65,60.15,61.05,58.3
334,Nov,2014,2014-11-01,3244.746204,177.0,3163.436168,1613.457683,1517.7677189999995,86397.0,378.4735,459.3125,65.4375,65.0,66.375,61.25
335,Dez,2014,2014-12-01,1484.576891,139.0,2964.02588,1203.856567,-414.59242200000017,86397.0,377.5732475,399.3262875,64.0625,65.25,68.125,61.375
