,datetime,symbol,open,high,low,close,ano,mes
349,1997-09-07,USDBRL,1.0915,1.0916,1.0908,1.0916,1997,9
350,1997-09-14,USDBRL,1.092,1.0934,1.0895,1.0934,1997,9
351,1997-09-21,USDBRL,1.0942,1.095,1.0885,1.095,1997,9
352,1997-09-28,USDBRL,1.0955,1.0962,1.0915,1.0962,1997,9
353,1997-10-05,USDBRL,1.0965,1.0975,1.0915,1.0975,1997,10
354,1997-10-12,USDBRL,1.0975,1.099,1.0975,1.099,1997,10
355,1997-10-19,USDBRL,1.0899,1.1005,1.0899,1.1005,1997,10
356,1997-10-26,USDBRL,1.0975,1.1073,1.0975,1.105,1997,10
357,1997-11-02,USDBRL,1.103,1.103,1.1015,1.1025,1997,11
358,1997-11-09,USDBRL,1.1058,1.108,1.1025,1.108,1997,11
359,1997-11-16,USDBRL,1.1074,1.1088,1.1061,1.1088,1997,11
360,1997-11-23,USDBRL,1.099,1.1098,1.099,1.1098,1997,11
361,1997-11-30,USDBRL,1.1065,1.11,1.0985,1.11,1997,11
362,1997-12-07,USDBRL,1.1107,1.111,1.1105,1.111,1997,12
363,1997-12-14,USDBRL,1.1085,1.115,1.1085,1.115,1997,12
364,1997-12-21,USDBRL,1.111,1.116,1.111,1.111,1997,12
365,1997-12-28,USDBRL,1.1156,1.116,1.111,1.1159,1997,12
366,1998-01-04,USDBRL,1.1145,1.1177,1.111,1.1177,1998,1
367,1998-01-11,USDBRL,1.111,1.121,1.111,1.1196,1998,1
368,1998-01-18,USDBRL,1.1185,1.1211,1.117,1.1211,1998,1
369,1998-01-25,USDBRL,1.1212,1.1225,1.1205,1.1225,1998,1
370,1998-02-01,USDBRL,1.1225,1.125,1.1217,1.125,1998,2
371,1998-02-08,USDBRL,1.125,1.1271,1.1225,1.1271,1998,2
372,1998-02-15,USDBRL,1.1225,1.1291,1.1225,1.1291,1998,2
373,1998-02-22,USDBRL,1.129,1.13,1.129,1.13,1998,2
374,1998-03-01,USDBRL,1.13,1.1311,1.13,1.1311,1998,3
375,1998-03-08,USDBRL,1.13,1.1329,1.13,1.1329,1998,3
376,1998-03-15,USDBRL,1.133,1.134,1.133,1.134,1998,3
377,1998-03-22,USDBRL,1.1348,1.1357,1.134,1.1357,1998,3
378,1998-03-29,USDBRL,1.1362,1.1379,1.128,1.1379,1998,3
379,1998-04-05,USDBRL,1.1383,1.139,1.128,1.1375,1998,4
380,1998-04-12,USDBRL,1.139,1.1407,1.134,1.1407,1998,4
381,1998-04-19,USDBRL,1.1413,1.1432,1.1412,1.1432,1998,4
382,1998-04-26,USDBRL,1.141,1.1449,1.141,1.1435,1998,4
383,1998-05-03,USDBRL,1.1435,1.1453,1.1435,1.1453,1998,5
384,1998-05-10,USDBRL,1.1435,1.1468,1.1435,1.1467,1998,5
385,1998-05-17,USDBRL,1.1437,1.1513,1.1437,1.1513,1998,5
386,1998-05-24,USDBRL,1.145,1.1525,1.145,1.15,1998,5
387,1998-05-31,USDBRL,1.1504,1.1525,1.1504,1.152,1998,5
388,1998-06-07,USDBRL,1.152,1.154,1.152,1.1525,1998,6
389,1998-06-14,USDBRL,1.1525,1.1565,1.1525,1.1565,1998,6
390,1998-06-21,USDBRL,1.1565,1.1565,1.155,1.1565,1998,6
391,1998-06-28,USDBRL,1.1565,1.1565,1.1565,1.1565,1998,6
392,1998-07-05,USDBRL,1.1565,1.1565,1.156,1.1565,1998,7
393,1998-07-12,USDBRL,1.1565,1.16,1.1565,1.1565,1998,7
394,1998-07-19,USDBRL,1.1565,1.1565,1.1565,1.1565,1998,7
395,1998-07-26,USDBRL,1.1565,1.1655,1.1565,1.1655,1998,7
396,1998-08-02,USDBRL,1.1655,1.168,1.1655,1.1655,1998,8
397,1998-08-09,USDBRL,1.1655,1.1725,1.1655,1.1725,1998,8
398,1998-08-16,USDBRL,1.1725,1.1734,1.1725,1.1725,1998,8
399,1998-08-23,USDBRL,1.1725,1.1765,1.1725,1.1765,1998,8
400,1998-08-30,USDBRL,1.1765,1.1765,1.1749,1.1765,1998,8
401,1998-09-06,USDBRL,1.1765,1.1789,1.176,1.1789,1998,9
402,1998-09-13,USDBRL,1.1765,1.18,1.1765,1.179,1998,9
403,1998-09-20,USDBRL,1.1809,1.1837,1.179,1.179,1998,9
404,1998-09-27,USDBRL,1.1837,1.1852,1.1816,1.1837,1998,9
405,1998-10-04,USDBRL,1.1837,1.1837,1.1837,1.1837,1998,10
406,1998-10-11,USDBRL,1.1837,1.1837,1.1837,1.1837,1998,10
407,1998-10-18,USDBRL,1.1837,1.1907,1.1837,1.1907,1998,10
408,1998-10-25,USDBRL,1.1908,1.1918,1.1837,1.19,1998,10
409,1998-11-01,USDBRL,1.19,1.1921,1.188,1.188,1998,11
410,1998-11-08,USDBRL,1.1894,1.1911,1.1894,1.1911,1998,11
411,1998-11-15,USDBRL,1.1904,1.1943,1.1904,1.1943,1998,11
412,1998-11-22,USDBRL,1.1969,1.2,1.191,1.2,1998,11
413,1998-11-29,USDBRL,1.2007,1.2016,1.191,1.191,1998,11
414,1998-12-06,USDBRL,1.2021,1.2021,1.191,1.2021,1998,12
415,1998-12-13,USDBRL,1.2021,1.2063,1.2021,1.2063,1998,12
416,1998-12-20,USDBRL,1.2064,1.2073,1.2064,1.2065,1998,12
417,1998-12-27,USDBRL,1.2079,1.2083,1.2078,1.2083,1998,12
418,1999-01-03,USDBRL,1.204,1.2098,1.204,1.204,1999,1
419,1999-01-10,USDBRL,1.2065,1.5,1.2065,1.5,1999,1
420,1999-01-17,USDBRL,1.4,1.71,1.4,1.71,1999,1
421,1999-01-24,USDBRL,1.77,2.13,1.77,2.13,1999,1
422,1999-01-31,USDBRL,1.94,1.94,1.75,1.83,1999,1
423,1999-02-07,USDBRL,1.88,1.91,1.88,1.9,1999,2
424,1999-02-14,USDBRL,1.92,1.94,1.89,1.94,1999,2
425,1999-02-21,USDBRL,1.97,2.08,1.84,2.08,1999,2
426,1999-02-28,USDBRL,1.99,2.19,1.99,2.04,1999,2
427,1999-03-07,USDBRL,1.95,1.95,1.84,1.89,1999,3
428,1999-03-14,USDBRL,1.9,1.9,1.82,1.85,1999,3
429,1999-03-21,USDBRL,1.85,1.86,1.775,1.78,1999,3
430,1999-03-28,USDBRL,1.78,1.78,1.62,1.73,1999,3
431,1999-04-04,USDBRL,1.71,1.74,1.57,1.73,1999,4
432,1999-04-11,USDBRL,1.7,1.7,1.66,1.66,1999,4
433,1999-04-18,USDBRL,1.66,1.68,1.66,1.66,1999,4
434,1999-04-25,USDBRL,1.66,1.7,1.66,1.67,1999,4
435,1999-05-02,USDBRL,1.67,1.67,1.67,1.67,1999,5
436,1999-05-09,USDBRL,1.66,1.66,1.63,1.63,1999,5
437,1999-05-16,USDBRL,1.63,1.65,1.63,1.65,1999,5
438,1999-05-23,USDBRL,1.67,1.71,1.67,1.71,1999,5
439,1999-05-30,USDBRL,1.72,1.74,1.71,1.73,1999,5
440,1999-06-06,USDBRL,1.73,1.77,1.73,1.77,1999,6
441,1999-06-13,USDBRL,1.78,1.79,1.74,1.74,1999,6
442,1999-06-20,USDBRL,1.76,1.81,1.75,1.79,1999,6
443,1999-06-27,USDBRL,1.76,1.79,1.75,1.76,1999,6
444,1999-07-04,USDBRL,1.7625,1.81,1.75,1.81,1999,7
445,1999-07-11,USDBRL,1.79,1.85,1.75,1.8,1999,7
446,1999-07-18,USDBRL,1.85,1.85,1.78,1.81,1999,7
447,1999-07-25,USDBRL,1.82,1.82,1.78,1.79,1999,7
448,1999-08-01,USDBRL,1.82,1.85,1.78,1.84,1999,8
449,1999-08-08,USDBRL,1.78,1.88,1.78,1.88,1999,8
